,Unnamed: 0,divMin,divProd,instanceNum,jacInd,num1,num2,numCommon,num_codonors,str1,str2
17,17,0.009191176,2.6800000000000002e-08,0,7.23e-05,343000,2720,25,733,ALAN GRAYSON,PATRICK KREITLOW
18,18,0.202688728,5.35e-07,0,0.0005161,379000,967,196,734,RAUL RUIZ,VALDEZ DEMINGS
19,19,0.019416667,4.8399999999999997e-08,0,0.0005644830000000001,401000,12000,233,735,JON TESTER,SHELLI YODER
20,20,0.00387234,3.8e-09,0,0.000470506,141000,1020000,546,736,RAUL GRIJALVA,JOSEPH DONNELLY
21,21,0.010264901,9.679999999999999e-08,0,0.001281574,15100,106000,155,736,CHRISTIE VILSACK,ROB ZERBAN
22,22,0.03183391,2.68e-07,0,0.01051669,57800,119000,1840,737,BETTY SUTTON,SEAN MALONEY
23,23,0.235664336,6.04e-07,0,0.067494492,143000,390000,33700,737,DONNA EDWARDS,HEIDI HEITKAMP
24,24,0.005149701,8.88e-09,0,0.00014414700000000001,580000,16700,86,737,AMY KLOBUCHAR,JOE MIKLOSI
25,25,0.007894736999999999,6.58e-07,0,0.0006854010000000001,1140,12000,9,737,AMERISH BERA,SHELLI YODER
26,26,0.010538462,5.8499999999999994e-08,0,0.000710349,180000,13000,137,740,BERNARD SANDERS,ROBERT KERREY
27,27,0.000692308,1.25e-09,0,1.58e-05,555000,13000,9,740,DAVID GILL,ROBERT KERREY
0,0,0.04100295,9.09e-08,3,0.017910063,339000,451000,13900,740,MARIA CANTWELL,ROBERT MENENDEZ
1,1,0.005149701,3.6e-08,3,0.0005388,143000,16700,86,742,DONNA EDWARDS,JOE MIKLOSI
2,2,0.002325581,1.7e-08,3,0.000419086,30100,137000,70,742,JOHN OCEGUERA,MAZIE HIRONO
3,3,0.054046997,1.33e-07,3,0.026977714,383000,405000,20700,743,RAUL RUIZ,LOUISE SLAUGHTER
4,4,0.037430168,5.28e-08,3,0.012718298999999999,709000,358000,13400,744,G. FOSTER,MARTIN HEINRICH
5,5,0.072413793,9.55e-07,3,0.0010926689999999999,75800,1160,84,745,RAUL GRIJALVA,AMERISH BERA
6,6,0.047619048,1.12e-06,3,0.019886364,29400,42400,1400,746,ANN KUSTER,BRADLEY SCHNEIDER
7,7,0.032755906,1.96e-08,3,0.014352746000000001,1670000,1270000,41600,746,BILL NELSON,PATRICK MURPHY
8,8,0.037028825,7.44e-08,3,0.017912689,498000,451000,16700,746,DEBBIE STABENOW,ROBERT MENENDEZ
9,9,0.0005576919999999999,5.21e-09,3,0.000274957,107000,104000,58,748,ROB ZERBAN,SEAN MALONEY
10,10,0.018145695,5.0700000000000004e-08,3,0.000734927,358000,15100,274,748,MARTIN HEINRICH,CHRISTIE VILSACK
